iter	RMSE
252	8882.109272
253	8881.167926
254	8877.676758
255	8877.422993
256	8875.527693
257	8874.772264
258	8873.087754
259	8871.690277
260	8869.026223
261	8868.388007
262	8867.850145
263	8865.358421
264	8863.866532
265	8862.303499
266	8859.232427
267	8857.090444
268	8855.15178
269	8853.142965
270	8850.696409
271	8849.961245
272	8847.048982
273	8844.262792
274	8842.824809
275	8840.554759
276	8838.800911
277	8836.505728
278	8836.025037
279	8834.352573
280	8831.700066
281	8831.174889
282	8830.045337
283	8829.035227
284	8828.497624
285	8827.246532
286	8825.333344
287	8823.788675
288	8822.845255
289	8821.830832
290	8820.663452
291	8819.185861
292	8818.320079
293	8817.226647
294	8817.040393
295	8816.284412
296	8815.357792
297	8812.341387
298	8811.116637
299	8809.879444
300	8809.661723
301	8808.484255
302	8806.879249
303	8804.259688
304	8803.87927
305	8803.521557
306	8799.896308
307	8799.528076
308	8799.057229
309	8798.172745
310	8796.020684
311	8794.876294
312	8794.069006
313	8792.68185
314	8792.173569
315	8791.83391
316	8789.083982
317	8788.342302
318	8786.458179
319	8785.560925
320	8784.815167
321	8784.226532
322	8783.524028
323	8780.579403
324	8780.256085
325	8777.446749
326	8775.252845
327	8774.817786
328	8774.51321
329	8773.664068
330	8770.645179
331	8768.269712
332	8766.790901
333	8765.579731
334	8764.244885
335	8761.790023
336	8761.50962
337	8760.363948
338	8760.107248
339	8757.801703
340	8755.890225
341	8755.020234
342	8752.421222
343	8751.585059
344	8751.233647
345	8748.413822
346	8740.625911
347	8737.567735
348	8736.748199
349	8729.272463
350	8728.120057
351	8726.711433
352	8724.667408
353	8723.053595
354	8722.661821
355	8721.328146
356	8719.473691
357	8719.041992
358	8718.431091
359	8717.477488
360	8716.57607
361	8715.59655
362	8715.148293
363	8714.21379
364	8712.582054
365	8711.244782
366	8710.261345
367	8709.815919
368	8709.121685
369	8707.699641
370	8706.341718
371	8704.676599
372	8704.312592
373	8703.31923
374	8702.856688
375	8702.747429
376	8700.610295
377	8700.201359
378	8698.941104
379	8698.06001
380	8697.489057
381	8692.135199
382	8691.316954
383	8690.798872
384	8689.525718
385	8688.65619
386	8687.880249
387	8686.880205
388	8686.052659
389	8685.630902
390	8683.878846
391	8683.501953
392	8681.811065
393	8679.709977
394	8678.03008
395	8677.469014
396	8676.065872
397	8674.857416
398	8674.309563
399	8672.965642
400	8672.38284
401	8672.083284
402	8670.966283
403	8670.131671
404	8668.969305
405	8666.974518
406	8666.663115
407	8661.68936
408	8658.240255
409	8658.098948
410	8656.503337
411	8656.102784
412	8655.918856
413	8655.54544
414	8654.918048
415	8653.64737
416	8653.428542
417	8651.330832
418	8650.747841
419	8650.401967
420	8649.08449
421	8647.197664
422	8646.628983
423	8645.161945
424	8644.624608
425	8643.82494
426	8642.854635
427	8642.04601
428	8640.082067
429	8639.34521
430	8638.814157
431	8631.893314
432	8631.591177
433	8630.879633
434	8629.813018
435	8628.041118
436	8626.623799
437	8625.315929
438	8622.730814
439	8621.496675
440	8620.189718
441	8619.429625
442	8617.752473
443	8616.979024
444	8616.317249
445	8616.01903
446	8614.783826
447	8614.518127
448	8613.498641
449	8612.419934
450	8611.744257
451	8611.169141
452	8610.435631
453	8609.602787
454	8608.925211
455	8606.294795
456	8604.883902
457	8604.608682
458	8603.755343
459	8602.580818
460	8602.363393
461	8602.285028
462	8601.591342
463	8596.069708
464	8595.745984
465	8595.099513
466	8594.944496
467	8593.99027
468	8593.384582
469	8593.089305
470	8592.320757
471	8591.565733
472	8591.016128
473	8588.213931
474	8587.79123
475	8586.872914
476	8579.880637
477	8579.273506
478	8577.644515
479	8577.568643
480	8576.667872
481	8576.318705
482	8575.665823
483	8572.837119
484	8571.317811
485	8569.912922
486	8569.690546
487	8568.290704
488	8567.732129
489	8566.403152
490	8565.58144
491	8564.934394
492	8562.896879
493	8562.230296
494	8560.737294
495	8560.666912
496	8559.750014
497	8559.662619
498	8559.446058
499	8558.035067
500	8556.95948
501	8556.908813
502	8556.442682
503	8555.930184
504	8555.508843
505	8554.401175
506	8553.736291
507	8552.99084
508	8552.666683
509	8552.252815
510	8550.460601
511	8549.988978
512	8548.972244
513	8547.764005
514	8546.889741
515	8545.91116
516	8545.244632
517	8544.664904
518	8544.476602
519	8544.035528
520	8543.816123
521	8543.450805
522	8542.201574
523	8541.065882
524	8540.672065
525	8539.112813
526	8538.114728
527	8537.904223
528	8537.657656
529	8535.750833
530	8534.840507
531	8534.306102
532	8533.697135
533	8533.264695
534	8531.762108
535	8530.89962
536	8530.321868
537	8529.640894
538	8528.637699
539	8527.803348
540	8527.460202
541	8527.277295
542	8520.718985
543	8519.510399
544	8518.495503
545	8514.592047
546	8512.159323
547	8511.459098
548	8504.927015
549	8504.570589
550	8501.650399
551	8498.61289
552	8498.011355
553	8495.732429
554	8495.188638
555	8494.007223
556	8493.834126
557	8493.472812
558	8491.713232
559	8491.554495
560	8485.14797
561	8484.310782
562	8483.746614
563	8483.59333
564	8483.037732
565	8479.965092
566	8479.179958
567	8477.811268
568	8477.547764
569	8474.559821
570	8471.803909
571	8471.289175
572	8470.527763
573	8469.901217
574	8468.75422
575	8463.306647
576	8463.17467
577	8462.858066
578	8462.615209
579	8462.463405
580	8461.355832
581	8460.559341
582	8458.764813
583	8451.897611
584	8447.993786
585	8447.460716
586	8445.756807
587	8444.720503
588	8444.119469
589	8443.550702
590	8443.442037
591	8443.26294
592	8442.244242
593	8439.014196
594	8438.822808
595	8438.788615
596	8438.612999
597	8438.228819
598	8437.508468
599	8437.010489
600	8436.610247
601	8436.443345
602	8435.668581
603	8434.903109
604	8434.207646
605	8433.934459
606	8432.153336
607	8431.404297
608	8426.294081
609	8421.369181
610	8420.912803
611	8420.016275
612	8419.354652
613	8419.333263
614	8417.439615
615	8410.92419
616	8410.374787
617	8410.252675
618	8409.285033
619	8408.071472
620	8407.930936
621	8406.705811
622	8406.061252
623	8402.770603
624	8402.184686
625	8402.154888
626	8401.743248
627	8401.71657
628	8401.688423
629	8401.189077
630	8399.805539
631	8399.627303
632	8399.600516
633	8399.525019
634	8399.160719
635	8398.736984
636	8398.230963
637	8397.77883
638	8396.639482
639	8395.428833
640	8395.32093
641	8394.903143
642	8394.577874
643	8393.421431
644	8391.418888
645	8391.097315
646	8388.335535
647	8385.225016
648	8384.005901
649	8383.621722
650	8381.999482
651	8381.710317
652	8381.225255
653	8378.613543
654	8378.515403
655	8378.158257
656	8377.811008
657	8377.455294
658	8376.94217
659	8376.761984
660	8376.372702
661	8376.230342
662	8375.44514
663	8375.105259
664	8373.642069
665	8373.552109
666	8373.379653
667	8373.324701
668	8373.100939
669	8372.981449
670	8372.448098
671	8372.400251
672	8372.310245
673	8372.252138
674	8371.852319
675	8371.707113
676	8371.610562
677	8371.397968
678	8371.32904
679	8371.254554
680	8370.814947
681	8369.879525
682	8369.302796
683	8369.265046
684	8368.833331
685	8363.859362
686	8363.182951
687	8360.574431
688	8360.317805
689	8355.581211
690	8354.145524
691	8352.901484
692	8352.077624
693	8351.971694
694	8351.652028
695	8350.795647
696	8350.570944
697	8350.138442
698	8348.627431
699	8348.278004
700	8345.843875
701	8345.777632
702	8345.336019
703	8345.292181
704	8344.79086
705	8344.156869
706	8343.751808
707	8342.080596
708	8341.915328
709	8341.839601
710	8335.791535
711	8335.45439
712	8333.799028
713	8333.086091
714	8333.03232
715	8332.723853
716	8331.971759
717	8331.240216
718	8330.493647
719	8329.96275
720	8329.815308
721	8329.473175
722	8328.64377
723	8328.444939
724	8328.072018
725	8327.917876
726	8326.630453
727	8326.249364
728	8323.929149
729	8322.453428
730	8322.268109
731	8318.76657
732	8318.382175
733	8318.002445
734	8317.654757
735	8317.130708
736	8316.938363
737	8316.802346
738	8316.703821
739	8313.442843
740	8313.384809
741	8312.832415
742	8312.460353
743	8311.59149
744	8311.238198
745	8311.156006
746	8310.850963
747	8310.7332
748	8308.786632
749	8305.913174
750	8304.147008
751	8303.29474
752	8303.234019
753	8303.179093
754	8303.147585
755	8302.615692
756	8300.712132
757	8300.348411
758	8299.806635
759	8299.452749
760	8298.953325
761	8298.281361
762	8297.578825
763	8297.29368
764	8297.198389
765	8296.868506
766	8296.791851
767	8296.723651
768	8295.950356
769	8295.425545
770	8294.911549
771	8293.921862
772	8293.440038
773	8293.379607
774	8293.09554
775	8293.048644
776	8292.952554
777	8292.638491
778	8292.339446
779	8291.848003
780	8287.407414
781	8285.488705
782	8283.121784
783	8283.081198
784	8282.766053
785	8281.793589
786	8281.766469
787	8281.10048
788	8280.810529
789	8278.217744
790	8275.847852
791	8275.119868
792	8274.677166
793	8273.889736
794	8269.341197
795	8265.106047
796	8264.739462
797	8264.247041
798	8260.274935
799	8259.969174
800	8259.884639
801	8259.490856
802	8259.144349
803	8254.739529
804	8254.132594
805	8253.198814
806	8252.863692
807	8249.648014
808	8249.194129
809	8248.666086
810	8248.2855
811	8248.127856
812	8248.049135
813	8248.012229
814	8245.338007
815	8244.233703
816	8243.793155
817	8243.28703
818	8243.071868
819	8242.838761
820	8242.489915
821	8242.243172
822	8241.956634
823	8241.84549
824	8241.571048
825	8236.445911
826	8236.22699
827	8236.026053
828	8234.29808
829	8233.676901
830	8233.505332
831	8233.322622
832	8232.450641
833	8231.836497
834	8231.802041
835	8231.714559
836	8230.122941
837	8228.291267
838	8228.250929
839	8228.160629
840	8227.377807
841	8227.232393
842	8226.714854
843	8226.433336
844	8226.151325
845	8225.340681
846	8223.021606
847	8222.528821
848	8222.077942
849	8221.314955
850	8220.597183
851	8220.128823
852	8220.046217
853	8218.598901
854	8218.56426
855	8218.360184
856	8215.378372
857	8214.541973
858	8213.737958
859	8212.099656
860	8212.034693
861	8211.959429
862	8211.21447
863	8211.188141
864	8210.926752
865	8209.301246
866	8207.782998
867	8207.502906
868	8207.118133
869	8202.873245
870	8202.296748
871	8202.008994
872	8201.843358
873	8200.294056
874	8200.118663
875	8199.766409
876	8199.499539
877	8197.522158
878	8197.420228
879	8195.259779
880	8193.523335
881	8192.065895
882	8191.477578
883	8191.384239
884	8191.155361
885	8189.946649
886	8189.706143
887	8189.663556
888	8189.26663
889	8189.081467
890	8189.016611
891	8187.509993
892	8187.246336
893	8185.842944
894	8184.667465
895	8184.632597
896	8183.328105
897	8183.190394
898	8182.569476
899	8182.022495
900	8181.187523
901	8181.031358
902	8180.504268
903	8179.795325
904	8179.443038
905	8179.297208
906	8178.641227
907	8177.274
908	8176.930788
909	8176.695845
910	8176.371617
911	8176.016626
912	8174.690601
913	8174.563638
914	8169.185531
915	8169.102786
916	8168.002315
917	8167.566591
918	8166.871093
919	8166.731175
920	8165.62059
921	8165.336209
922	8164.906139
923	8164.230201
924	8162.791063
925	8162.224509
926	8162.103584
927	8161.544494
928	8161.514651
929	8158.862315
930	8157.883212
931	8157.448425
932	8156.404911
933	8155.057576
934	8154.935951
935	8154.597176
936	8153.801099
937	8153.315068
938	8152.984673
939	8152.523613
940	8152.059369
941	8151.926499
942	8151.497987
943	8150.608514
944	8148.23012
945	8147.881066
946	8147.588146
947	8147.486709
948	8147.407204
949	8146.978468
950	8146.875816
951	8146.804913
952	8145.932942
953	8145.842002
954	8145.699154
955	8145.498943
956	8145.39109
957	8140.467042
958	8140.042795
959	8139.747921
960	8139.379
961	8139.133222
962	8138.703574
963	8138.645941
964	8138.313344
965	8138.25413
966	8137.036702
967	8135.801575
968	8135.331024
969	8134.626546
970	8134.564621
971	8133.9153
972	8133.792485
973	8132.735607
974	8132.617656
975	8128.13921
976	8128.027516
977	8123.921183
978	8121.928153
979	8120.069596
980	8119.958426
981	8119.669825
982	8119.349676
983	8119.096715
984	8117.094647
985	8116.66005
986	8115.391504
987	8115.30831
988	8114.285323
989	8112.864479
990	8112.753794
991	8111.805692
992	8110.349381
993	8110.07423
994	8107.203748
995	8106.138189
996	8106.031161
997	8104.712779
998	8103.322676
999	8103.221722
