iter	Passed	Remaining
400	16550	24721
401	16582	24667
402	16614	24612
403	16647	24559
404	16679	24504
405	16712	24451
406	16744	24396
407	16783	24352
408	16817	24300
409	16848	24245
410	16880	24191
411	16914	24139
412	16945	24085
413	16977	24031
414	17011	23979
415	17043	23926
416	17075	23873
417	17110	23823
418	17143	23771
419	17176	23720
420	17209	23667
421	17242	23616
422	17274	23564
423	17308	23513
424	17340	23461
425	17373	23409
426	17413	23367
427	17486	23369
428	17543	23350
429	17591	23318
430	17623	23265
431	17655	23213
432	17687	23160
433	17718	23107
434	17751	23056
435	17790	23013
436	17823	22962
437	17855	22909
438	17887	22858
439	17919	22807
440	17952	22756
441	17983	22703
442	18015	22651
443	18048	22601
444	18081	22550
445	18113	22500
446	18145	22448
447	18178	22397
448	18209	22346
449	18241	22295
450	18272	22243
451	18306	22194
452	18338	22143
453	18370	22092
454	18403	22043
455	18435	21993
456	18467	21942
457	18499	21892
458	18531	21841
459	18563	21791
460	18596	21742
461	18628	21693
462	18660	21642
463	18693	21593
464	18725	21544
465	18757	21495
466	18791	21447
467	18823	21397
468	18854	21346
469	18886	21297
470	18918	21248
471	18951	21199
472	18982	21149
473	19015	21101
474	19047	21052
475	19080	21004
476	19113	20956
477	19147	20910
478	19180	20862
479	19213	20814
480	19247	20768
481	19309	20751
482	19386	20751
483	19439	20725
484	19478	20683
485	19510	20634
486	19542	20586
487	19579	20542
488	19611	20494
489	19646	20448
490	19677	20399
491	19713	20354
492	19776	20338
493	19856	20338
494	19913	20315
495	19951	20273
496	19982	20223
497	20014	20175
498	20046	20126
499	20083	20083
500	20116	20036
501	20152	19991
502	20187	19947
503	20257	19935
504	20309	19906
505	20348	19865
506	20381	19818
507	20413	19770
508	20444	19721
509	20476	19673
510	20514	19631
511	20549	19586
512	20587	19544
513	20621	19498
514	20655	19452
515	20688	19405
516	20720	19357
517	20753	19311
518	20785	19264
519	20817	19215
520	20849	19168
521	20880	19120
522	20914	19074
523	20946	19027
524	20977	18979
525	21011	18934
526	21043	18886
527	21076	18840
528	21107	18793
529	21139	18746
530	21171	18699
531	21203	18652
532	21237	18607
533	21269	18560
534	21300	18513
535	21331	18466
536	21367	18423
537	21400	18377
538	21432	18330
539	21469	18289
540	21530	18267
541	21597	18250
542	21650	18221
543	21689	18180
544	21721	18134
545	21755	18089
546	21791	18046
547	21825	18001
548	21861	17958
549	21893	17913
550	21925	17866
551	21958	17821
552	21989	17774
553	22020	17727
554	22052	17681
555	22085	17636
556	22117	17590
557	22150	17545
558	22191	17506
559	22253	17484
560	22320	17466
561	22365	17431
562	22398	17385
563	22431	17340
564	22462	17294
565	22493	17247
566	22525	17202
567	22560	17158
568	22597	17116
569	22629	17071
570	22661	17025
571	22693	16980
572	22726	16935
573	22759	16891
574	22791	16846
575	22823	16800
576	22856	16756
577	22891	16713
578	22957	16692
579	23017	16667
580	23054	16626
581	23090	16583
582	23126	16541
583	23159	16497
584	23191	16451
585	23223	16406
586	23255	16362
587	23287	16317
588	23319	16272
589	23384	16250
590	23453	16230
591	23499	16195
592	23532	16151
593	23571	16110
594	23606	16068
595	23639	16024
596	23670	15978
597	23704	15934
598	23737	15890
599	23802	15868
600	23870	15847
601	23922	15815
602	23955	15771
603	23988	15727
604	24019	15682
605	24051	15637
606	24085	15594
607	24120	15551
608	24152	15506
609	24186	15463
610	24272	15453
611	24352	15438
612	24405	15407
613	24439	15364
614	24472	15320
615	24505	15276
616	24540	15233
617	24574	15190
618	24638	15165
619	24707	15143
620	24750	15105
621	24783	15061
622	24818	15018
623	24853	14975
624	24884	14930
625	24918	14887
626	24953	14844
627	24987	14801
628	25020	14757
629	25058	14716
630	25102	14679
631	25182	14663
632	25269	14650
633	25305	14608
634	25341	14566
635	25390	14531
636	25435	14494
637	25468	14450
638	25503	14408
639	25548	14371
640	25597	14336
641	25640	14298
642	25682	14259
643	25730	14223
644	25776	14187
645	25839	14159
646	25911	14137
647	25977	14111
648	26025	14075
649	26065	14035
650	26110	13998
651	26162	13964
652	26208	13926
653	26256	13891
654	26304	13854
655	26361	13823
656	26410	13788
657	26460	13752
658	26508	13716
659	26561	13683
660	26605	13644
661	26638	13600
662	26671	13556
663	26707	13514
664	26744	13472
665	26780	13430
666	26813	13386
667	26848	13344
668	26879	13299
669	26912	13255
670	26947	13212
671	26982	13169
672	27015	13126
673	27048	13082
674	27083	13040
675	27118	12997
676	27151	12953
677	27192	12914
678	27227	12871
679	27260	12828
680	27294	12785
681	27328	12742
682	27363	12700
683	27395	12656
684	27428	12612
685	27465	12571
686	27580	12565
687	27658	12542
688	27705	12505
689	27745	12465
690	27779	12422
691	27812	12378
692	27860	12342
693	27900	12302
694	27939	12261
695	27975	12219
696	28017	12179
697	28069	12144
698	28124	12110
699	28181	12077
700	28235	12043
701	28288	12008
702	28342	11973
703	28401	11941
704	28453	11906
705	28534	11882
706	28603	11854
707	28667	11823
708	28735	11794
709	28805	11765
710	28861	11731
711	28903	11691
712	28938	11648
713	28970	11604
714	29005	11561
715	29066	11529
716	29115	11491
717	29175	11459
718	29228	11422
719	29281	11387
720	29340	11353
721	29392	11317
722	29439	11278
723	29561	11269
724	29659	11250
725	29719	11216
726	29772	11180
727	29816	11140
728	29851	11097
729	29887	11054
730	29921	11010
731	29954	10966
732	30030	10938
733	30100	10908
734	30160	10874
735	30208	10835
736	30241	10791
737	30276	10748
738	30309	10704
739	30343	10661
740	30383	10619
741	30418	10576
742	30454	10534
743	30490	10491
744	30520	10446
745	30559	10405
746	30593	10361
747	30633	10320
748	30677	10280
749	30720	10240
750	30764	10200
751	30809	10160
752	30847	10118
753	30888	10077
754	30923	10034
755	30959	9992
756	31013	9955
757	31064	9917
758	31107	9877
759	31147	9836
760	31188	9795
761	31228	9753
762	31273	9714
763	31313	9672
764	31353	9631
765	31389	9588
766	31438	9550
767	31474	9507
768	31507	9464
769	31543	9422
770	31578	9379
771	31615	9337
772	31655	9295
773	31695	9254
774	31734	9213
775	31768	9170
776	31801	9127
777	31834	9083
778	31867	9040
779	31901	8997
780	31935	8955
781	31969	8912
782	32006	8870
783	32069	8835
784	32124	8798
785	32177	8760
786	32222	8720
787	32281	8684
788	32332	8646
789	32380	8607
790	32413	8564
791	32447	8521
792	32484	8479
793	32524	8438
794	32570	8398
795	32639	8364
796	32707	8330
797	32781	8298
798	32849	8263
799	32914	8228
800	32970	8191
801	33137	8181
802	33252	8157
803	33336	8126
804	33396	8089
805	33489	8060
806	33561	8026
807	33610	7986
808	33645	7943
809	33683	7900
810	33719	7858
811	33753	7814
812	33787	7771
813	33824	7728
814	33859	7685
815	33929	7650
816	33969	7608
817	34006	7566
818	34041	7523
819	34079	7480
820	34129	7441
821	34236	7413
822	34295	7375
823	34345	7336
824	34390	7294
825	34425	7251
826	34469	7210
827	34522	7171
828	34572	7131
829	34652	7097
830	34696	7056
831	34730	7012
832	34763	6969
833	34795	6925
834	34828	6882
835	34878	6842
836	34919	6800
837	34991	6764
838	35043	6724
839	35075	6681
840	35108	6637
841	35140	6594
842	35172	6550
843	35208	6507
844	35242	6464
845	35273	6420
846	35305	6377
847	35338	6334
848	35370	6290
849	35402	6247
850	35434	6204
851	35466	6160
852	35496	6117
853	35528	6073
854	35559	6030
855	35591	5987
856	35622	5943
857	35653	5900
858	35685	5857
859	35718	5814
860	35750	5771
861	35784	5728
862	35815	5685
863	35847	5642
864	35880	5599
865	35912	5556
866	35942	5513
867	35974	5470
868	36006	5427
869	36037	5384
870	36068	5341
871	36101	5299
872	36131	5256
873	36169	5214
874	36224	5174
875	36307	5139
876	36357	5099
877	36391	5056
878	36423	5013
879	36454	4971
880	36512	4931
881	36575	4893
882	36607	4850
883	36638	4807
884	36669	4765
885	36701	4722
886	36732	4679
887	36764	4636
888	36795	4594
889	36826	4551
890	36857	4508
891	36889	4466
892	36940	4426
893	36993	4386
894	37045	4346
895	37085	4304
896	37116	4261
897	37148	4219
898	37179	4177
899	37213	4134
900	37247	4092
901	37294	4051
902	37375	4014
903	37425	3974
904	37461	3932
905	37503	3891
906	37541	3849
907	37579	3807
908	37613	3765
909	37646	3723
910	37710	3684
911	37775	3645
912	37838	3605
913	37885	3564
914	37937	3524
915	37989	3483
916	38052	3444
917	38115	3404
918	38171	3364
919	38225	3323
920	38288	3284
921	38348	3244
922	38402	3203
923	38460	3163
924	38525	3123
925	38614	3085
926	38774	3053
927	38822	3012
928	38854	2969
929	38887	2927
930	38920	2884
931	38962	2842
932	39028	2802
933	39077	2761
934	39110	2718
935	39145	2676
936	39179	2634
937	39211	2591
938	39243	2549
939	39279	2507
940	39324	2465
941	39388	2425
942	39447	2384
943	39483	2342
944	39519	2300
945	39550	2257
946	39582	2215
947	39616	2173
948	39650	2130
949	39712	2090
950	39780	2049
951	39820	2007
952	39853	1965
953	39884	1923
954	39916	1880
955	39949	1838
956	39980	1796
957	40014	1754
958	40068	1713
959	40130	1672
960	40164	1629
961	40196	1587
962	40228	1545
963	40260	1503
964	40293	1461
965	40326	1419
966	40360	1377
967	40416	1336
968	40507	1295
969	40549	1254
970	40581	1212
971	40614	1169
972	40647	1127
973	40683	1086
974	40717	1044
975	40764	1002
976	40820	960
977	40863	919
978	40919	877
979	40954	835
980	40988	793
981	41020	751
982	41052	709
983	41085	668
984	41120	626
985	41181	584
986	41248	543
987	41307	501
988	41351	459
989	41382	418
990	41414	376
991	41445	334
992	41476	292
993	41509	250
994	41541	208
995	41574	166
996	41629	125
997	41701	83
998	41747	41
999	41781	0
